CrimeDate	CrimeTime	CrimeCode	Location	Description	Weapon	Post	District	Neighborhood	"Location 1"	"Total Incidents"	latitude	longitude
2015/01/03	610	1F	"500 QUEENSGATE RD"	HOMICIDE	FIREARM	833	SOUTHWESTERN	Beechfield	"(39.2761300000, -76.6968500000)"	1	39.2761300000	-76.6968500000
2014/12/31	810	1F	"4000 2ND ST"	HOMICIDE	FIREARM	912	SOUTHERN	Brooklyn	"(39.2337400000, -76.6107900000)"	1	39.2337400000	-76.6107900000
2014/12/30	123	1F	"3100 GREENMOUNT AV"	HOMICIDE	FIREARM	515	NORTHERN	Abell	"(39.3261800000, -76.6094400000)"	1	39.3261800000	-76.6094400000
2014/12/28	210	1F	"2300 MC CULLOH ST"	HOMICIDE	FIREARM	733	WESTERN	"Penn North"	"(39.3107100000, -76.6373700000)"	1	39.3107100000	-76.6373700000
2014/12/25	150	1K	"3800 S HANOVER ST"	HOMICIDE	KNIFE	912	SOUTHERN	Brooklyn	"(39.2366100000, -76.6105400000)"	1	39.2366100000	-76.6105400000
2014/12/22	1446	1F	"2000 DENISON ST"	HOMICIDE	FIREARM	812	SOUTHWESTERN	"Mount Holly"	"(39.3102200000, -76.6742300000)"	1	39.3102200000	-76.6742300000
2014/12/20	1640	1F	"3700 RAVENWOOD AV"	HOMICIDE	FIREARM	413	NORTHEASTERN	Belair-Edison	"(39.3154800000, -76.5657200000)"	1	39.3154800000	-76.5657200000
2014/12/20	1734	1K	"500 N SCHROEDER ST"	HOMICIDE	KNIFE	714	WESTERN	"Harlem Park"	"(39.2944400000, -76.6341500000)"	1	39.2944400000	-76.6341500000
2014/12/16	1628	1F	"2900 RIDGEWOOD AV"	HOMICIDE	FIREARM	613	NORTHWESTERN	"Lucille Park"	"(39.3392000000, -76.6708700000)"	1	39.3392000000	-76.6708700000
2014/12/14	1245	1F	"2300 HARFORD RD"	HOMICIDE	FIREARM	312	EASTERN	"East Baltimore Midway"	"(39.3158700000, -76.5962700000)"	1	39.3158700000	-76.5962700000
2014/12/14	1403	1F	"2700 ASHLAND AV"	HOMICIDE	FIREARM	334	EASTERN	Madison-Eastend	"(39.3011500000, -76.5787200000)"	1	39.3011500000	-76.5787200000
2014/12/09	1205	1F	"2500 MC HENRY ST"	HOMICIDE	FIREARM	836	SOUTHWESTERN	"Shipley Hill"	"(39.2839200000, -76.6561400000)"	1	39.2839200000	-76.6561400000
2014/12/07	1852	1F	"500 EDGEWOOD ST"	HOMICIDE	FIREARM	815	SOUTHWESTERN	Allendale	"(39.2928500000, -76.6755100000)"	1	39.2928500000	-76.6755100000
2014/12/02	1740	1F	"2800 ASHLAND AV"	HOMICIDE	FIREARM	334	EASTERN	Madison-Eastend	"(39.3011600000, -76.5781000000)"	1	39.3011600000	-76.5781000000
2014/12/01	1044	1F	"3900 PENHURST AV"	HOMICIDE	FIREARM	624	NORTHWESTERN	Dolfield	"(39.3386600000, -76.6814300000)"	1	39.3386600000	-76.6814300000
2014/11/30	534	1K	"6500 CROSS COUNTRY BLVD"	HOMICIDE	KNIFE	635	NORTHWESTERN	"Cross Country"	"(39.3650200000, -76.6937000000)"	1	39.3650200000	-76.6937000000
2014/11/30	1802	1F	"1500 ARGYLE AV"	HOMICIDE	FIREARM	132	CENTRAL	Upton	"(39.3012900000, -76.6337100000)"	1	39.3012900000	-76.6337100000
2014/11/25	2208	1F	"1200 DARLEY AV"	HOMICIDE	FIREARM	312	EASTERN	"East Baltimore Midway"	"(39.3163000000, -76.5991000000)"	1	39.3163000000	-76.5991000000
2014/11/20	1315	1F	"4600 MANNASOTA AV"	HOMICIDE	FIREARM	436	NORTHEASTERN	Frankford	"(39.3303900000, -76.5582000000)"	1	39.3303900000	-76.5582000000
2014/11/19	1110	1O	"500 W LANVALE ST"	HOMICIDE	OTHER	123	Upton	CENTRAL	"(39.3019600000, -76.6286100000)"	1	39.3019600000	-76.6286100000
2014/11/19	2227	1F	"3000 WYLIE AV"	HOMICIDE	FIREARM	534	NORTHERN	Parklane	"(39.3419300000, -76.6653100000)"	1	39.3419300000	-76.6653100000
2014/11/18	1818	1O	"1600 E 28TH ST"	HOMICIDE	OTHER	412	NORTHEASTERN	"Coldstream Homestead Montebello"	"(39.3238400000, -76.5924900000)"	1	39.3238400000	-76.5924900000
2014/11/10	1902	1F	"300 NOTTINGHAM RD"	HOMICIDE	FIREARM	826	SOUTHWESTERN	"Ten Hills"	"(39.2864700000, -76.6970800000)"	1	39.2864700000	-76.6970800000
2014/11/10	2004	1F	"3400 MONDAWMIN AV"	HOMICIDE	FIREARM	621	NORTHWESTERN	Hanlon-Longwood	"(39.3151800000, -76.6749400000)"	1	39.3151800000	-76.6749400000
2014/11/09	1849	1F	"400 EDGEWOOD ST"	HOMICIDE	FIREARM	815	SOUTHWESTERN	"Lower Edmondson Village"	"(39.2920700000, -76.6754000000)"	1	39.2920700000	-76.6754000000
2014/11/05	2004	1F	"2800 KENT ST"	HOMICIDE	FIREARM	922	SOUTHERN	Westport	"(39.2630100000, -76.6339200000)"	1	39.2630100000	-76.6339200000
2014/11/03	635	1F	"2700 PRESSTMAN ST"	HOMICIDE	FIREARM	814	SOUTHWESTERN	"Northwest Community Action"	"(39.3046500000, -76.6631800000)"	1	39.3046500000	-76.6631800000
2014/11/02	152	1F	"3600 PARK HEIGHTS AV"	HOMICIDE	FIREARM	611	NORTHWESTERN	"Park Circle"	"(39.3298300000, -76.6593100000)"	1	39.3298300000	-76.6593100000
2014/11/01	717	1F	"400 N GAY ST"	HOMICIDE	FIREARM	315	EASTERN	Penn-Fallsway	"(39.2945900000, -76.6063300000)"	1	39.2945900000	-76.6063300000
2014/10/31	1455	1F	"3500 BRENDAN AV"	HOMICIDE	FIREARM	413	NORTHEASTERN	Belair-Edison	"(39.3189500000, -76.5674800000)"	1	39.3189500000	-76.5674800000
2014/10/29	1855	1F	"0 S CATHERINE ST"	HOMICIDE	FIREARM	836	SOUTHWESTERN	"Shipley Hill"	"(39.2877000000, -76.6561200000)"	1	39.2877000000	-76.6561200000
2014/10/28	455	1O	"4400 FURLEY AV"	HOMICIDE	OTHER	436	NORTHEASTERN	Frankford	"(39.3310400000, -76.5565400000)"	1	39.3310400000	-76.5565400000
2014/10/25	20	1F	"4700 LIBERTY HEIGHTS AV"	HOMICIDE	FIREARM	626	NORTHWESTERN	"Howard Park"	"(39.3314600000, -76.6958000000)"	1	39.3314600000	-76.6958000000
2014/10/23	1129	1F	"3900 CHESTERFIELD AV"	HOMICIDE	FIREARM	413	NORTHEASTERN	Belair-Edison	"(39.3164700000, -76.5627200000)"	1	39.3164700000	-76.5627200000
2014/10/22	1952	1F	"3800 WOODBINE AV"	HOMICIDE	FIREARM	626	NORTHWESTERN	"Howard Park"	"(39.3352400000, -76.6954200000)"	1	39.3352400000	-76.6954200000
2014/10/15	2009	1K	"800 HARFORD CT"	HOMICIDE	KNIFE	315	EASTERN	Oldtown	"(39.2992100000, -76.6050900000)"	1	39.2992100000	-76.6050900000
2014/10/11	2050	1O	"2500 GARRETT AV"	HOMICIDE	OTHER	411	NORTHEASTERN	"Coldstream Homestead Montebello"	"(39.3189200000, -76.5986600000)"	1	39.3189200000	-76.5986600000
2014/10/10	1655	1F	"1500 TRACTION ST"	HOMICIDE	FIREARM	733	WESTERN	"Penn North"	"(39.3109900000, -76.6425000000)"	1	39.3109900000	-76.6425000000
2014/10/10	2214	1F	"5600 LOCH RAVEN BLVD"	HOMICIDE	FIREARM	423	NORTHEASTERN	"Loch Raven"	"(39.3595200000, -76.5885600000)"	1	39.3595200000	-76.5885600000
2014/10/09	15	1O	"2700 HUGO AV"	HOMICIDE	OTHER	412	NORTHEASTERN	"Coldstream Homestead Montebello"	"(39.3233400000, -76.5892800000)"	1	39.3233400000	-76.5892800000
2014/10/09	1330	1K	"1700 W NORTH AV"	HOMICIDE	KNIFE	733	WESTERN	"Penn North"	"(39.3099700000, -76.6450900000)"	1	39.3099700000	-76.6450900000
2014/10/07	127	1F	"5200 DENMORE AV"	HOMICIDE	FIREARM	633	NORTHWESTERN	Arlington	"(39.3488700000, -76.6786500000)"	1	39.3488700000	-76.6786500000
2014/10/07	127	1F	"5200 DENMORE AV"	HOMICIDE	FIREARM	633	NORTHWESTERN	Arlington	"(39.3488700000, -76.6786500000)"	1	39.3488700000	-76.6786500000
2014/10/07	205	1F	"3000 N HILTON ST"	HOMICIDE	FIREARM	621	NORTHWESTERN	"Forest Park"	"(39.3204100000, -76.6730700000)"	1	39.3204100000	-76.6730700000
2014/10/06	2223	1K	"700 S BOND ST"	HOMICIDE	KNIFE	214	SOUTHEASTERN	"Fells Point"	"(39.2831800000, -76.5951500000)"	1	39.2831800000	-76.5951500000
2014/10/05	1355	1F	"5000 RAINTREE WY"	HOMICIDE	FIREARM	436	NORTHEASTERN	Parkside	"(39.3213300000, -76.5532600000)"	1	39.3213300000	-76.5532600000
2014/10/04	2220	1F	"7000 FIELDCREST RD"	HOMICIDE	FIREARM	632	NORTHWESTERN	Fallstaff	"(39.3640700000, -76.7085400000)"	1	39.3640700000	-76.7085400000
2014/10/01	2130	1F	"1600 CLIFTVIEW AV"	HOMICIDE	FIREARM	312	EASTERN	"Darley Park"	"(39.3152300000, -76.5955800000)"	1	39.3152300000	-76.5955800000
2014/09/30	25	1F	"3700 E PRATT ST"	HOMICIDE	FIREARM	224	SOUTHEASTERN	"Baltimore Highlands"	"(39.2903300000, -76.5662300000)"	1	39.2903300000	-76.5662300000
2014/09/28	1557	1F	"2400 E OLIVER ST"	HOMICIDE	FIREARM	333	EASTERN	"Broadway East"	"(39.3079200000, -76.5841800000)"	1	39.3079200000	-76.5841800000
2014/09/26	154	1K	"2500 N HOWARD ST"	HOMICIDE	KNIFE	511	NORTHERN	Remington	"(39.3178100000, -76.6197600000)"	1	39.3178100000	-76.6197600000
2014/09/25	50	1F	"3800 BOARMAN AV"	HOMICIDE	FIREARM	625	NORTHWESTERN	Callaway-Garrison	"(39.3345100000, -76.6789500000)"	1	39.3345100000	-76.6789500000
2014/09/23	456	1K	"6000 AMBERWOOD RD"	HOMICIDE	KNIFE	434	NORTHEASTERN	Frankford	"(39.3163700000, -76.5433000000)"	1	39.3163700000	-76.5433000000
2014/09/23	609	1K	"1700 KANE ST"	HOMICIDE	KNIFE	234	SOUTHEASTERN	"Broening Manor"	"(39.2729600000, -76.5358900000)"	1	39.2729600000	-76.5358900000
2014/09/22	1957	1F	"400 N MONTFORD AV"	HOMICIDE	FIREARM	221	SOUTHEASTERN	"McElderry Park"	"(39.2959500000, -76.5835700000)"	1	39.2959500000	-76.5835700000
2014/09/21	2322	1F	"400 W SARATOGA ST"	HOMICIDE	FIREARM	121	CENTRAL	Downtown	"(39.2928500000, -76.6212400000)"	1	39.2928500000	-76.6212400000
2014/09/21	2322	1F	"400 W SARATOGA ST"	HOMICIDE	FIREARM	121	CENTRAL	Downtown	"(39.2928500000, -76.6212400000)"	1	39.2928500000	-76.6212400000
2014/09/20	12	1F	"6500 HOLABIRD AV"	HOMICIDE	FIREARM	234	SOUTHEASTERN	"Broening Manor"	"(39.2724000000, -76.5351900000)"	1	39.2724000000	-76.5351900000
2014/09/18	2016	1F	"5800 WAYCROSS RD"	HOMICIDE	FIREARM	435	NORTHEASTERN	Cedonia	"(39.3325100000, -76.5345200000)"	1	39.3325100000	-76.5345200000
2014/09/18	2120	1F	"3000 FLEETWOOD AV"	HOMICIDE	FIREARM	425	NORTHEASTERN	Westfield	"(39.3624100000, -76.5522900000)"	1	39.3624100000	-76.5522900000
2014/09/11	213	1F	"2900 ARUNAH AV"	HOMICIDE	FIREARM	815	SOUTHWESTERN	"Franklintown Road"	"(39.2952500000, -76.6652700000)"	1	39.2952500000	-76.6652700000
2014/09/06	2350	1F	"2000 CECIL AV"	HOMICIDE	FIREARM	311	EASTERN	"East Baltimore Midway"	"(39.3131300000, -76.6052900000)"	1	39.3131300000	-76.6052900000
2014/09/03	2130	1F	"4900 PARK HEIGHTS AV"	HOMICIDE	FIREARM	614	NORTHWESTERN	"Central Park Heights"	"(39.3467000000, -76.6728400000)"	1	39.3467000000	-76.6728400000
2014/09/03	2317	1F	"3200 SPAULDING AV"	HOMICIDE	FIREARM	614	NORTHWESTERN	"Central Park Heights"	"(39.3483000000, -76.6748600000)"	1	39.3483000000	-76.6748600000
2014/09/02	57	1F	"4700 PARK HEIGHTS AV"	HOMICIDE	FIREARM	615	NORTHWESTERN	"Central Park Heights"	"(39.3447100000, -76.6707400000)"	1	39.3447100000	-76.6707400000
2014/09/01	2127	1F	"1800 DRUID HILL AV"	HOMICIDE	FIREARM	131	CENTRAL	"Druid Heights"	"(39.3061900000, -76.6336900000)"	1	39.3061900000	-76.6336900000
2014/09/01	2151	1F	"700 LINNARD ST"	HOMICIDE	FIREARM	815	SOUTHWESTERN	Edgewood	"(39.2968800000, -76.6747600000)"	1	39.2968800000	-76.6747600000
2014/08/31	335	1F	"4200 BERGER AV"	HOMICIDE	FIREARM	435	NORTHEASTERN	Frankford	"(39.3399900000, -76.5473600000)"	1	39.3399900000	-76.5473600000
2014/08/29	1538	1F	"100 N GILMOR ST"	HOMICIDE	FIREARM	711	WESTERN	"Franklin Square"	"(39.2898100000, -76.6425000000)"	1	39.2898100000	-76.6425000000
2014/08/27	1012	1F	"2400 E MADISON ST"	HOMICIDE	FIREARM	325	EASTERN	Milton-Montford	"(39.2998900000, -76.5833500000)"	1	39.2998900000	-76.5833500000
2014/08/26	2241	1K	"500 E COLD SPRING LA"	HOMICIDE	KNIFE	524	NORTHERN	Wrenlane	"(39.3461200000, -76.6090700000)"	1	39.3461200000	-76.6090700000
2014/08/24	0	1F	"4200 WEST BAY AV"	HOMICIDE	FIREARM	911	SOUTHERN	Brooklyn	"(39.2288000000, -76.5942200000)"	1	39.2288000000	-76.5942200000
2014/08/24	140	1K	"1500 GORSUCH AV"	HOMICIDE	KNIFE	411	NORTHEASTERN	"Coldstream Homestead Montebello"	"(39.3227500000, -76.5971400000)"	1	39.3227500000	-76.5971400000
2014/08/24	655	1K	"600 WINSTON AV"	HOMICIDE	KNIFE	524	NORTHERN	Winston-Govans	"(39.3500800000, -76.6075400000)"	1	39.3500800000	-76.6075400000
2014/08/22	36	1F	"2000 LINDEN AV"	HOMICIDE	FIREARM	134	CENTRAL	"Reservoir Hill"	"(39.3105900000, -76.6325100000)"	1	39.3105900000	-76.6325100000
2014/08/22	149	1O	"4200 SHAMROCK AV"	HOMICIDE	OTHER	436	NORTHEASTERN	Belair-Edison	"(39.3280700000, -76.5652800000)"	1	39.3280700000	-76.5652800000
2014/08/21	25	1F	"3400 RAMONA AV"	HOMICIDE	FIREARM	415	NORTHEASTERN	Belair-Edison	"(39.3230100000, -76.5633400000)"	1	39.3230100000	-76.5633400000
2014/08/20	212	1F	"0 W 20TH ST"	HOMICIDE	FIREARM	516	NORTHERN	"Charles North"	"(39.3121900000, -76.6167300000)"	1	39.3121900000	-76.6167300000
2014/08/20	2357	1F	"200 N BENTALOU ST"	HOMICIDE	FIREARM	721	WESTERN	"Penrose/Fayette Street Outreach"	"(39.2907900000, -76.6530600000)"	1	39.2907900000	-76.6530600000
2014/08/16	930	1O	"1400 GORSUCH AV"	HOMICIDE	OTHER	411	NORTHEASTERN	"Coldstream Homestead Montebello"	"(39.3234200000, -76.5981100000)"	1	39.3234200000	-76.5981100000
2014/08/15	952	1K	"4100 FERNHILL AV"	HOMICIDE	KNIFE	624	NORTHWESTERN	"West Arlington"	"(39.3376300000, -76.6875800000)"	1	39.3376300000	-76.6875800000
2014/08/11	23	1F	"2900 BRIGHTON ST"	HOMICIDE	FIREARM	814	SOUTHWESTERN	"Northwest Community Action"	"(39.3052800000, -76.6661600000)"	1	39.3052800000	-76.6661600000
2014/08/11	38	1F	"6000 BELAIR RD"	HOMICIDE	FIREARM	427	NORTHEASTERN	Cedmont	"(39.3474600000, -76.5388900000)"	1	39.3474600000	-76.5388900000
2014/08/11	1706	1K	"2800 ST LO DR"	HOMICIDE	KNIFE	412	NORTHEASTERN	"Clifton Park"	"(39.3188400000, -76.5871300000)"	1	39.3188400000	-76.5871300000
2014/08/10	10	1F	"1600 E MADISON ST"	HOMICIDE	FIREARM	324	EASTERN	"Gay Street"	"(39.2994100000, -76.5960600000)"	1	39.2994100000	-76.5960600000
2014/08/09	1410	1F	"4100 E MONUMENT ST"	HOMICIDE	FIREARM	334	EASTERN	Orangeville	"(39.2997700000, -76.5632000000)"	1	39.2997700000	-76.5632000000
2014/08/09	2238	1F	"1300 E LAFAYETTE AV"	HOMICIDE	FIREARM	313	EASTERN	Oliver	"(39.3104400000, -76.6008800000)"	1	39.3104400000	-76.6008800000
2014/08/09	2343	1K	"1500 MARSHALL ST"	HOMICIDE	KNIFE	945	SOUTHERN	"South Baltimore"	"(39.2720700000, -76.6124500000)"	1	39.2720700000	-76.6124500000
2014/08/07	2045	1K	"4100 CHATHAM RD"	HOMICIDE	KNIFE	624	NORTHWESTERN	Dorchester	"(39.3304600000, -76.6873100000)"	1	39.3304600000	-76.6873100000
2014/08/05	59	1F	"500 N MONROE ST"	HOMICIDE	FIREARM	721	WESTERN	Midtown-Edmondson	"(39.2941300000, -76.6473000000)"	1	39.2941300000	-76.6473000000
2014/08/03	2347	1F	"500 SHERIDAN AV"	HOMICIDE	FIREARM	524	NORTHERN	Woodbourne-McCabe	"(39.3546600000, -76.6096400000)"	1	39.3546600000	-76.6096400000
2014/08/01	150	1F	"500 YALE AV"	HOMICIDE	FIREARM	833	SOUTHWESTERN	"Yale Heights"	"(39.2773100000, -76.6864500000)"	1	39.2773100000	-76.6864500000
2014/08/01	1551	1F	"3600 OLD YORK RD"	HOMICIDE	FIREARM	525	NORTHERN	Waverly	"(39.3323800000, -76.6078900000)"	1	39.3323800000	-76.6078900000
2014/07/31	101	1F	"900 N MONROE ST"	HOMICIDE	FIREARM	724	WESTERN	Midtown-Edmondson	"(39.2991200000, -76.6475700000)"	1	39.2991200000	-76.6475700000
2014/07/31	2344	1F	"4700 WILERN AV"	HOMICIDE	FIREARM	614	NORTHWESTERN	"Central Park Heights"	"(39.3445800000, -76.6736100000)"	1	39.3445800000	-76.6736100000
2014/07/30	23	1F	"4900 REISTERSTOWN RD"	HOMICIDE	FIREARM	614	NORTHWESTERN	"Lucille Park"	"(39.3421700000, -76.6780000000)"	1	39.3421700000	-76.6780000000
2014/07/26	1535	1F	"2200 W SARATOGA ST"	HOMICIDE	FIREARM	721	WESTERN	"Penrose/Fayette Street Outreach"	"(39.2917900000, -76.6522200000)"	1	39.2917900000	-76.6522200000
2014/07/23	2315	1F	"3300 DORITHAN RD"	HOMICIDE	FIREARM	625	NORTHWESTERN	"East Arlington"	"(39.3308500000, -76.6683400000)"	1	39.3308500000	-76.6683400000
2014/07/20	1345	1K	"1200 E LAFAYETTE AV"	HOMICIDE	KNIFE	313	EASTERN	Oliver	"(39.3103800000, -76.6024600000)"	1	39.3103800000	-76.6024600000
2014/07/17	1901	1O	"2900 DENHAM CIRCLE SOUTH"	HOMICIDE	OTHER	924	SOUTHERN	"Cherry Hill"	"(39.2442500000, -76.6271000000)"	1	39.2442500000	-76.6271000000
2014/07/17	2309	1F	"5000 QUEENSBERRY AV"	HOMICIDE	FIREARM	615	NORTHWESTERN	"Central Park Heights"	"(39.3489800000, -76.6711500000)"	1	39.3489800000	-76.6711500000
2014/07/17	2352	1F	"5300 GOODNOW RD"	HOMICIDE	FIREARM	433	NORTHEASTERN	Frankford	"(39.3235700000, -76.5430600000)"	1	39.3235700000	-76.5430600000
2014/07/16	330	1F	"2200 CEDLEY ST"	HOMICIDE	FIREARM	922	SOUTHERN	Westport	"(39.2636500000, -76.6317000000)"	1	39.2636500000	-76.6317000000
2014/07/16	550	1K	"3400 PIEDMONT AV"	HOMICIDE	KNIFE	621	NORTHWESTERN	Hanlon-Longwood	"(39.3163000000, -76.6748000000)"	1	39.3163000000	-76.6748000000
2014/07/16	2218	1F	"3600 DOLFIELD AV"	HOMICIDE	FIREARM	625	NORTHWESTERN	Dolfield	"(39.3361100000, -76.6754400000)"	1	39.3361100000	-76.6754400000
2014/07/16	2331	1F	"3500 WINDSOR MILL RD"	HOMICIDE	FIREARM	812	SOUTHWESTERN	"Mount Holly"	"(39.3113800000, -76.6756100000)"	1	39.3113800000	-76.6756100000
2014/07/15	1649	1F	"2200 WINDSOR AV"	HOMICIDE	FIREARM	735	WESTERN	Mondawmin	"(39.3128200000, -76.6536100000)"	1	39.3128200000	-76.6536100000
2014/07/08	1610	1F	"3000 SPAULDING AV"	HOMICIDE	FIREARM	615	NORTHWESTERN	"Central Park Heights"	"(39.3493000000, -76.6731400000)"	1	39.3493000000	-76.6731400000
2014/07/05	15	1F	"2500 CHRISTIAN ST"	HOMICIDE	FIREARM	835	SOUTHWESTERN	Millhill	"(39.2799000000, -76.6553000000)"	1	39.2799000000	-76.6553000000
2014/07/05	1059	1F	"300 FOLCROFT ST"	HOMICIDE	FIREARM	232	SOUTHEASTERN	Bayview	"(39.2900000000, -76.5419500000)"	1	39.2900000000	-76.5419500000
2014/07/05	1950	1F	"1500 WHITELOCK ST"	HOMICIDE	FIREARM	733	WESTERN	"Penn North"	"(39.3109900000, -76.6404700000)"	1	39.3109900000	-76.6404700000
2014/07/04	15	1K	"1300 N PATTERSON PARK AV"	HOMICIDE	KNIFE	332	EASTERN	"Broadway East"	"(39.3058900000, -76.5855300000)"	1	39.3058900000	-76.5855300000
2014/07/04	1703	1F	"3200 CHELSEA TER"	HOMICIDE	FIREARM	622	NORTHWESTERN	"Concerned Citizens Of Forest Park"	"(39.3238200000, -76.6833300000)"	1	39.3238200000	-76.6833300000
2014/07/01	2351	1O	"5800 REISTERSTOWN RD"	HOMICIDE	OTHER	631	NORTHWESTERN	"Reisterstown Station"	"(39.3507500000, -76.6946700000)"	1	39.3507500000	-76.6946700000
